Time,Lat,Long,accel_x,accel_y,accel_z
1720075489231,11.0983356,76.9864156,0.096000001,0,0.959999979
1720075490235,11.0983198,76.9864156,0.096000001,0,1.008000016
1720075490238,11.0983198,76.986434,0.096000001,0,1.008000016
1720075491244,11.0983031,76.986434,0.096000001,0,0.959999979
1720075491246,11.0983031,76.986455,0.096000001,0,0.959999979
1720075492250,11.098278,76.986455,0.096000001,0,0.959999979
1720075492253,11.098278,76.9864623,0.096000001,0,0.959999979
1720075493257,11.0982631,76.9864623,0.096000001,0,0.959999979
1720075493260,11.0982631,76.9864836,0.096000001,0,0.959999979
1720075494265,11.09824,76.9864836,0.096000001,0,0.959999979
1720075494268,11.09824,76.9864943,0.096000001,0,0.959999979
1720075495272,11.098234,76.9864943,0.096000001,0,0.959999979
1720075495276,11.098234,76.9865148,0.096000001,0,0.959999979
1720075496280,11.098213,76.9865148,0.096000001,0,0.912
1720075496283,11.098213,76.9865183,0.096000001,0,0.912
1720075497287,11.098201,76.9865183,0.096000001,0,0.912
1720075497290,11.098201,76.9865293,0.096000001,0,0.912
1720075498294,11.0981913,76.9865293,0.143999994,0,0.912
1720075498297,11.0981913,76.9865375,0.143999994,0,0.912
1720075499301,11.0981896,76.9865375,0.096000001,0,0.959999979
1720075499307,11.0981896,76.9865555,0.096000001,0,0.959999979
1720075500308,11.0981731,76.9865555,0.096000001,0.048,0.959999979
1720075500312,11.0981731,76.9865513,0.096000001,0.048,0.959999979
1720075501317,11.09817,76.9865513,0.096000001,0,0.912
1720075501320,11.09817,76.9865583,0.096000001,0,0.912
1720075502324,11.098167,76.9865583,0.096000001,0,1.008000016
1720075502327,11.098167,76.986565,0.096000001,0,1.008000016
1720075503332,11.098166,76.986565,0.096000001,0.048,0.912
